timestamp,order_id,stage,event,exception_type,severity,amount_at_risk,details
2026-08-25T19:39:48.932749,de9330ec1dd0af0751b5c24b612917d0,DETECTION,EXCEPTION_DETECTED,SETTLEMENT_ANOMALY,LOW,19.38,Detected SETTLEMENT_ANOMALY
2026-08-25T19:39:48.932749,de9330ec1dd0af0751b5c24b612917d0,EVIDENCE,EVIDENCE_COLLECTED,SETTLEMENT_ANOMALY,LOW,19.38,Settlement anomaly detected; amount affected=₹19.38
2026-08-25T19:39:48.932749,de9330ec1dd0af0751b5c24b612917d0,RECOMMENDATION,ACTION_RECOMMENDED,SETTLEMENT_ANOMALY,LOW,19.38,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
2026-08-25T19:39:48.932749,bb1af69d9c3122c683d442d8af845410,DETECTION,EXCEPTION_DETECTED,REFUND_ORDER_MISMATCH,LOW,131.62,Detected REFUND_ORDER_MISMATCH
2026-08-25T19:39:48.932749,bb1af69d9c3122c683d442d8af845410,EVIDENCE,EVIDENCE_COLLECTED,REFUND_ORDER_MISMATCH,LOW,131.62,Refund/order state mismatch; amount affected=₹131.62
2026-08-25T19:39:48.932749,bb1af69d9c3122c683d442d8af845410,RECOMMENDATION,ACTION_RECOMMENDED,REFUND_ORDER_MISMATCH,LOW,131.62,Verify refund status and reconcile the merchant order with the refund record.
2026-08-25T19:39:48.932749,6a5560b5b974183928205724063cdfa6,DETECTION,EXCEPTION_DETECTED,SETTLEMENT_ANOMALY,LOW,41.75,Detected SETTLEMENT_ANOMALY
2026-08-25T19:39:48.932749,6a5560b5b974183928205724063cdfa6,EVIDENCE,EVIDENCE_COLLECTED,SETTLEMENT_ANOMALY,LOW,41.75,Settlement anomaly detected; amount affected=₹41.75
2026-08-25T19:39:48.932749,6a5560b5b974183928205724063cdfa6,RECOMMENDATION,ACTION_RECOMMENDED,SETTLEMENT_ANOMALY,LOW,41.75,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
2026-08-25T19:39:48.932749,e0f57f06590a2aee981778faa5b7c80c,DETECTION,EXCEPTION_DETECTED,PAYMENT_ORDER_MISMATCH,LOW,425.94,Detected PAYMENT_ORDER_MISMATCH
2026-08-25T19:39:48.932749,e0f57f06590a2aee981778faa5b7c80c,EVIDENCE,EVIDENCE_COLLECTED,PAYMENT_ORDER_MISMATCH,LOW,425.94,Payment/order state mismatch; amount affected=₹425.94
2026-08-25T19:39:48.932749,e0f57f06590a2aee981778faa5b7c80c,RECOMMENDATION,ACTION_RECOMMENDED,PAYMENT_ORDER_MISMATCH,LOW,425.94,Reconcile the merchant order state with the captured payment before requesting another payment.
2026-08-25T19:39:48.932749,5346a99f61d771b889336c4a2c14e0b9,DETECTION,EXCEPTION_DETECTED,PAYMENT_ORDER_MISMATCH,LOW,74.72,Detected PAYMENT_ORDER_MISMATCH
2026-08-25T19:39:48.932749,5346a99f61d771b889336c4a2c14e0b9,EVIDENCE,EVIDENCE_COLLECTED,PAYMENT_ORDER_MISMATCH,LOW,74.72,Payment/order state mismatch; amount affected=₹74.72
2026-08-25T19:39:48.932749,5346a99f61d771b889336c4a2c14e0b9,RECOMMENDATION,ACTION_RECOMMENDED,PAYMENT_ORDER_MISMATCH,LOW,74.72,Reconcile the merchant order state with the captured payment before requesting another payment.
2026-08-25T19:39:48.932749,0bcc4cc85c24f23e22013fd22f99728f,DETECTION,EXCEPTION_DETECTED,PAYMENT_ORDER_MISMATCH,LOW,195.0,Detected PAYMENT_ORDER_MISMATCH
2026-08-25T19:39:48.932749,0bcc4cc85c24f23e22013fd22f99728f,EVIDENCE,EVIDENCE_COLLECTED,PAYMENT_ORDER_MISMATCH,LOW,195.0,Payment/order state mismatch; amount affected=₹195.00
2026-08-25T19:39:48.932749,0bcc4cc85c24f23e22013fd22f99728f,RECOMMENDATION,ACTION_RECOMMENDED,PAYMENT_ORDER_MISMATCH,LOW,195.0,Reconcile the merchant order state with the captured payment before requesting another payment.
2026-08-25T19:39:48.932749,f489949dbe23cf9313deb342913ece0c,DETECTION,EXCEPTION_DETECTED,REFUND_ORDER_MISMATCH,HIGH,1436.46,Detected REFUND_ORDER_MISMATCH
2026-08-25T19:39:48.932749,f489949dbe23cf9313deb342913ece0c,EVIDENCE,EVIDENCE_COLLECTED,REFUND_ORDER_MISMATCH,HIGH,1436.46,Refund/order state mismatch; amount affected=₹1436.46
