order_id,exception_type,severity,amount_affected,reason,amount_at_risk,evidence,likely_cause,recommended_action
de9330ec1dd0af0751b5c24b612917d0,SETTLEMENT_ANOMALY,LOW,19.38,Settlement amount is lower than the captured payment amount,19.38,Settlement anomaly detected; amount affected=₹19.38,Settlement amount is lower than the captured payment amount.,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
bb1af69d9c3122c683d442d8af845410,REFUND_ORDER_MISMATCH,LOW,131.62,Merchant order is cancelled but customer refund is still pending,131.62,Refund/order state mismatch; amount affected=₹131.62,Merchant order indicates a refund condition but the refund is still pending.,Verify refund status and reconcile the merchant order with the refund record.
6a5560b5b974183928205724063cdfa6,SETTLEMENT_ANOMALY,LOW,41.75,Settlement amount is lower than the captured payment amount,41.75,Settlement anomaly detected; amount affected=₹41.75,Settlement amount is lower than the captured payment amount.,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
e0f57f06590a2aee981778faa5b7c80c,PAYMENT_ORDER_MISMATCH,LOW,425.94,Payment is captured but merchant order is still marked UNPAID,425.94,Payment/order state mismatch; amount affected=₹425.94,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
5346a99f61d771b889336c4a2c14e0b9,PAYMENT_ORDER_MISMATCH,LOW,74.72,Payment is captured but merchant order is still marked UNPAID,74.72,Payment/order state mismatch; amount affected=₹74.72,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
0bcc4cc85c24f23e22013fd22f99728f,PAYMENT_ORDER_MISMATCH,LOW,195.0,Payment is captured but merchant order is still marked UNPAID,195.0,Payment/order state mismatch; amount affected=₹195.00,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
f489949dbe23cf9313deb342913ece0c,REFUND_ORDER_MISMATCH,HIGH,1436.46,Merchant order is cancelled but customer refund is still pending,1436.46,Refund/order state mismatch; amount affected=₹1436.46,Merchant order indicates a refund condition but the refund is still pending.,Verify refund status and reconcile the merchant order with the refund record.
5a911c89527605e73569727488b5468d,PAYMENT_ORDER_MISMATCH,LOW,120.22,Payment is captured but merchant order is still marked UNPAID,120.22,Payment/order state mismatch; amount affected=₹120.22,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
8bde999dc4ad8ff2e39ca01c02a81119,PAYMENT_ORDER_MISMATCH,LOW,55.11,Payment is captured but merchant order is still marked UNPAID,55.11,Payment/order state mismatch; amount affected=₹55.11,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
431edc9c63424518da8f273659cafa77,PAYMENT_ORDER_MISMATCH,LOW,122.92,Payment is captured but merchant order is still marked UNPAID,122.92,Payment/order state mismatch; amount affected=₹122.92,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
968daeb20a9a0e6c8433cad2c886756a,SETTLEMENT_ANOMALY,LOW,21.34,Settlement amount is lower than the captured payment amount,21.34,Settlement anomaly detected; amount affected=₹21.34,Settlement amount is lower than the captured payment amount.,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
8048f4c2213c7ef433ffc4c00e017c14,WEBHOOK_FAILURE,LOW,26.35,Payment is captured but the webhook delivery failed,26.35,Webhook delivery failure; amount affected=₹26.35,Required webhook event was not successfully delivered to the merchant system.,Verify webhook delivery and replay or reconcile the missing event.
55e62ea5906d028721528c19cdd49bb0,WEBHOOK_FAILURE,LOW,24.28,Payment is captured but the webhook delivery failed,24.28,Webhook delivery failure; amount affected=₹24.28,Required webhook event was not successfully delivered to the merchant system.,Verify webhook delivery and replay or reconcile the missing event.
73840bb583b69b1d181d54f3f755a4e2,REFUND_ORDER_MISMATCH,LOW,203.08,Merchant order is cancelled but customer refund is still pending,203.08,Refund/order state mismatch; amount affected=₹203.08,Merchant order indicates a refund condition but the refund is still pending.,Verify refund status and reconcile the merchant order with the refund record.
1fab4ac9d85079b3da72a11475ae1685,REFUND_ORDER_MISMATCH,LOW,243.01,Merchant order is cancelled but customer refund is still pending,243.01,Refund/order state mismatch; amount affected=₹243.01,Merchant order indicates a refund condition but the refund is still pending.,Verify refund status and reconcile the merchant order with the refund record.
c00ec2c5d2f145b694e4f478c71c5711,PAYMENT_ORDER_MISMATCH,MEDIUM,704.32,Payment is captured but merchant order is still marked UNPAID,704.32,Payment/order state mismatch; amount affected=₹704.32,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
f5218a2401f92542f87b1de5bc3f92ff,SETTLEMENT_ANOMALY,LOW,16.66,Settlement amount is lower than the captured payment amount,16.66,Settlement anomaly detected; amount affected=₹16.66,Settlement amount is lower than the captured payment amount.,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
fa4c59a94711decb9c0410a0e7f878bc,PAYMENT_ORDER_MISMATCH,LOW,32.67,Payment is captured but merchant order is still marked UNPAID,32.67,Payment/order state mismatch; amount affected=₹32.67,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
cd7d5eba4ca59e359249279469aa4f7a,PAYMENT_ORDER_MISMATCH,LOW,165.21,Payment is captured but merchant order is still marked UNPAID,165.21,Payment/order state mismatch; amount affected=₹165.21,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
94a4d00bea6790d3c810c6b2f56b4d65,WEBHOOK_FAILURE,LOW,134.19,Payment is captured but the webhook delivery failed,134.19,Webhook delivery failure; amount affected=₹134.19,Required webhook event was not successfully delivered to the merchant system.,Verify webhook delivery and replay or reconcile the missing event.
0945dadba69dad599e42c31e78450de4,WEBHOOK_FAILURE,HIGH,1260.76,Payment is captured but the webhook delivery failed,1260.76,Webhook delivery failure; amount affected=₹1260.76,Required webhook event was not successfully delivered to the merchant system.,Verify webhook delivery and replay or reconcile the missing event.
0901f97cdb91762c043d2330c81919a4,REFUND_ORDER_MISMATCH,LOW,410.61,Merchant order is cancelled but customer refund is still pending,410.61,Refund/order state mismatch; amount affected=₹410.61,Merchant order indicates a refund condition but the refund is still pending.,Verify refund status and reconcile the merchant order with the refund record.
9c3585240de3978338d7aa8c74ddfaa1,PAYMENT_ORDER_MISMATCH,LOW,347.06,Payment is captured but merchant order is still marked UNPAID,347.06,Payment/order state mismatch; amount affected=₹347.06,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
37f4b362697f5c9826aee9c479b32bda,PAYMENT_ORDER_MISMATCH,LOW,73.77,Payment is captured but merchant order is still marked UNPAID,73.77,Payment/order state mismatch; amount affected=₹73.77,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
12958a97a4e26a4e7dd8bce7de8955b9,SETTLEMENT_ANOMALY,LOW,16.23,Settlement amount is lower than the captured payment amount,16.23,Settlement anomaly detected; amount affected=₹16.23,Settlement amount is lower than the captured payment amount.,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
6653d3fc131c01e7e7fa96daf4aea451,PAYMENT_ORDER_MISMATCH,LOW,185.94,Payment is captured but merchant order is still marked UNPAID,185.94,Payment/order state mismatch; amount affected=₹185.94,Payment captured but merchant order state does not match.,Reconcile the merchant order state with the captured payment before requesting another payment.
77f8ac5734b5b2f8c1572102f854d329,REFUND_ORDER_MISMATCH,LOW,134.27,Merchant order is cancelled but customer refund is still pending,134.27,Refund/order state mismatch; amount affected=₹134.27,Merchant order indicates a refund condition but the refund is still pending.,Verify refund status and reconcile the merchant order with the refund record.
b41f51ebf23530b00f69e5602f81a653,SETTLEMENT_ANOMALY,LOW,58.5,Settlement amount is lower than the captured payment amount,58.5,Settlement anomaly detected; amount affected=₹58.50,Settlement amount is lower than the captured payment amount.,"Reconcile the settlement against payment, refunds, fees and other settlement adjustments."
b2b345cd2633deaf2b69c3b5c5585afa,REFUND_ORDER_MISMATCH,LOW,61.29,Merchant order is cancelled but customer refund is still pending,61.29,Refund/order state mismatch; amount affected=₹61.29,Merchant order indicates a refund condition but the refund is still pending.,Verify refund status and reconcile the merchant order with the refund record.
